metadata_field,canonical_name,confidence,count,n_snapshots,support,corpora_count,figure_count,table_count,source_snapshot_count,source_document_count,source_both_count,top_observed_values,n_unique_observed_values,top_description_values,top_reasoning_values
source_citation,data_source,high,81,81,0.385714286,3,57,24,78,0,3,"['Authors’ calculations', 'Authors’ estimation from VHLSS 2006 and ARFC 2006', 'Source: World Bank', 'Education Sector Analysis, 2018; http://www.earlygradereadingbarometer.org/', 'المصدر: دراسة استقصائية لمناخ الاستثمار (2012). / Source: Investment Climate Survey (2012).']",46,"['The cited source of the data used in the figure.', 'The cited source or producer of the data shown in the snapshot.', 'Data source or citation shown for the figure or its panels.']","['Source citation supports provenance tracking and assessment of data reliability.', 'Source citation supports provenance tracking and assessment of data authority.', 'Source citation supports provenance tracking and trust assessment.']"
category_labels,category_labels,high,64,64,0.304761905,3,43,21,64,0,0,"['Niveau primaire; Niveau secondaire; Niveau universitaire; Informelle', '1, 2, 3, 4, 5, 6, 7, 8, 9, 10', 'Male; Female; Basic 1; Basic 2; Basic 3; Basic 4; Basic 5; Basic 6; Basic 7; Basic 8; Secondary 1; Secondary 2; Secondary 3; Jordan; Iraq; Morocco; Egypt; Yemen; Sudan', 'مؤسسة مالية رسمية / Formal financial institution; الأسرة أو الأصدقاء / Family or friends; جهة قرض خاصة غير رسمية / Private informal lending source', 'Refugees; Asylum seekers']",61,"['Labels of the categories represented in the figure.', 'Categorical labels used to break down indicators or chart segments.', 'Named categories or groups represented in the figure.']","[""Category labels allow the figure's data structure to be indexed and reconstructed."", 'Category labels expose searchable concepts that may not appear in document-level metadata.', 'Category labels expose figure-level content that may not be represented in document metadata.']"
project_name,project_name,high,29,29,0.138095238,1,3,26,0,23,6,"['Djibouti - Integrated Community Resilience Project', 'Croatia: Reconstruction Project for Eastern Slavonia, Baranja and Western Srijem', 'Pakistan - Balochistan Human Capital Investment Project', 'Croatia - Reconstruction Project for Eastern Slavonia, Baranja and Western Srijem', 'AZ-SPF: Improved Livelihoods for Internally Displaced Persons in Azerbaijan -- P178125']",22,"['Name of the project associated with the table.', 'The project or operation associated with the table.', 'Name of the project or operation to which the table relates.']","['Linking the table to the specific project enables discovery and comparison across project-level analytical tables.', 'Linking the table to the specific project supports discovery of project-level financial information.', 'Project context helps users interpret a generic table title such as Team.']"
category_values,not_in_ontology,low,27,27,0.128571429,3,23,4,27,0,0,"['37, 35, 35, 34, 33, 32, 31, 28, 27, 21', 'Formal financial institution: 77%; Family or friends: 6%; Private informal lending source: 17%', 'Hourly wages of contractuals: 45; Contribution to school funds: 43; Costs most likely attributed to the Syrian Crisis: 203', 'Higher: Poorest 4.4%, Second 8.8%, Middle 16.7%, Richest 68.2%; Secondary: Poorest 6.7%, Second 10.2%, Middle 16.1%, Fourth 24.3%, Richest 42.7%; Primary: Poorest 15.5%, Second 20.0%, Middle 21.8%, Fourth 26.2%, Richest 16.5%; None: Poorest 30.4%, Second 28.9%, Middle 21.7%, Fourth 13.0%, Richest 6.0%', '191,500,000.00; 30,000,000.00; 90,500,000.00; 16,000,000.00; 0.00']",27,"['The numeric values associated with each displayed category.', 'The values associated with each displayed category.', 'The numeric values associated with the table categories.']","['Capturing category-level values enables search, comparison, and downstream data reuse.', 'Category values support direct analytical reuse of the data contained in the chart.', 'Linked category-value pairs enable retrieval and reuse of the data contained in the figure.']"
category_dimension,category_dimension,high,22,22,0.104761905,3,22,0,22,0,0,"['Loan source type', 'Economy/country', 'Cost component', 'Place or locality names shown along the horizontal axis', 'Nationality']",21,"['The grouping variable used to organize the observations in the figure.', 'The categorical dimension used to divide the measured indicator.', 'The categorical dimension used to organize the bars or groups in the chart.']","['Knowing the category dimension supports analytical reuse, even though the exact dimension label is missing.', 'The category dimension makes the figure reusable for analysis of distribution by source type.', 'The category dimension is essential for understanding what the numeric values are being compared across.']"
series_labels,series_labels,high,22,22,0.104761905,3,22,0,22,0,0,"['GDP def.; CPI; Exports; Imports; A - IBRD; B - IDA; C - IMF; D - Other multilateral; E - Bilateral; F - Private; G - Short-term', 'Tajikistan; Low-income group; GDI; GDP; Exports; Imports', 'Cambodia; Low-income group; GDI; GDP', 'Croatia; Upper-middle-income group; GDI; GDP; Exports; Imports', 'GDP defl.; CPI; Exports; Imports']",22,"['Legend labels or plotted series names used in the embedded charts.', 'Named data series shown in legends or plotted comparisons.', 'Legend labels or data series represented in charts.']","['Series labels identify comparable variables and categories represented visually.', 'Series labels enable retrieval of specific plotted measures and comparators.', 'Series labels clarify which entities or measures are compared in the charts.']"
currency,currency,high,22,22,0.104761905,3,3,19,22,0,0,"['US$', 'USD', 'US dollars', 'US dollars; euros; pounds sterling', 'HRK']",9,"['Currency denomination used for monetary values.', 'The currency used for monetary values in the table.', 'The currency denomination used for monetary values.']","['Currency metadata improves interpretability of monetary tables even when the exact dollar currency is not specified.', 'Currency metadata supports comparison and aggregation of financial data across tables.', 'Currency supports filtering and analytical reuse of financial indicators.']"
project_identifier,project_identifier,high,20,20,0.095238095,1,1,19,0,20,0,"['P048983', 'P152898', 'P506969', 'P166308', 'P173846']",14,"['Unique identifier for the project associated with the table.', 'Project identifier linking the table to a specific project record.', 'The project identifier associated with the source document and snapshot context.']","['Project identifiers support precise linking between extracted tables and project records.', 'Project identifiers support linking the table to related project records and documents.', 'A project identifier supports precise linking and filtering across project-related snapshots.']"
sector,subject_domain,high,19,19,0.09047619,3,6,13,2,6,11,"['Education', 'Health', 'Education; Basic Education; Primary Education', 'Education; Basic Education', 'Health; Primary Care']",13,"['Broad sector or domain to which the figure content belongs.', 'Sector or thematic domain relevant to the table.', 'The sector or domain to which the table content belongs.']","['Sector metadata links the snapshot to education-focused discovery while confirming document-level classification.', 'Sector context helps distinguish this staffing table from similar team tables in other operational domains.', 'Sector metadata supports thematic filtering and connects the table to health-related content.']"
language,language,high,19,19,0.09047619,2,10,9,18,0,1,"['French', 'Spanish', 'Arabic', 'Français']",4,"['Language used in the table text.', 'Language used in the figure text.', 'Language used in the snapshot text.']","['Language supports multilingual search, indexing, and user filtering.', 'Language metadata supports multilingual search, filtering, and processing.', 'Language supports multilingual search and processing of figure text.']"
subject_domain,subject_domain,high,19,19,0.09047619,3,10,9,5,0,14,"['Food expenditure; food security', 'Guarantees in a financial-sector/MSME finance context; credit-guarantee context supported by document metadata', 'Prices and government finance; trade; balance of payments; external debt and resource flows', 'Education attainment; wealth inequality; population distribution', 'Public health; pandemics; health system preparedness; COVID-19 response']",19,"['The broad topical domain represented by the snapshot.', 'The thematic domain or topical area represented by the snapshot.', 'The broad thematic or analytical domain represented by the snapshot.']","['The figure title and document metadata both connect the snapshot to food expenditure and food security topics.', 'Linking the chart to financial guarantees and MSME finance improves thematic discovery beyond the visual text alone.', 'Subject domains enable discovery of macroeconomic, fiscal, trade, and debt information not reflected by the health-sector document title.']"
table_subject,subject_summary,high,15,15,0.071428571,2,0,15,14,0,1,"['Estimated project costs for reconstruction activities', 'Project team staffing, skills, effort, travel, and location requirements (inferred from table contents)', 'Project management results indicators with baseline and end-target values (inferred from component and indicator rows)', 'Project indicators and activities related to urban investment planning (inferred from row text and document title)', 'Project component costs and Bank-financing breakdown (inferred from title and columns)']",15,"['The main topic or analytical subject represented by the table.', 'Concise semantic description of what the table is about.', 'Concise semantic topic of the table.']","['A subject field helps users find tables by their substantive analytical purpose rather than document title alone.', 'A subject field improves retrieval when the visible title is brief or generic.', 'A concise subject summary helps users discover tables whose titles or surrounding text are unavailable.']"
sample_size,not_in_ontology,high,15,15,0.071428571,2,2,13,15,0,0,"['n=44', 'Observations: 566 pooled, 266 boys, 300 girls', '# of obs. ranges from 9,958 to 10,328 across reported outcomes', 'Panel C: N = 69, 71, 65, 74; Panel D: N = 99, 101, 78, 109', 'N=360 for both model specifications']",15,"['Number of observations used in the analysis.', 'The number of observations, respondents, or cases represented in the figure.', 'The number of observations underlying the reported estimates.']","['Sample size supports assessment of evidence strength and comparability.', 'Sample size is critical for interpreting and comparing empirical results.', 'Sample-size metadata helps assess the scale and comparability of the reported estimates.']"
x_axis_dimension,category_dimension,medium,13,13,0.061904762,3,13,0,13,0,0,"['Year', 'School year', 'IHR Capacity', 'Date', 'T1; T2; T3']",9,"['Dimension represented along the horizontal axis.', 'The dimension represented along the horizontal axis.', 'The categorical or temporal dimension displayed along the horizontal axis.']","['The x-axis dimension clarifies the primary comparison structure of the chart.', 'Axis dimensions are essential for understanding and comparing the analytical structure of the figure.', 'The x-axis dimension identifies the primary organizing variable of the visualization.']"
temporal_granularity,temporal_granularity,high,12,12,0.057142857,3,10,2,12,0,0,"['Annual', 'Annual periods spanning two calendar years', 'School year', 'Daily time series, inferred from day-number tick labels across months', 'Trimestres or quarters, labeled T1, T2, T3']",11,"['The frequency or structure of the time intervals used in the figure.', 'The temporal unit used for observations in the figure.', 'Approximate frequency or resolution of the time axis.']","['Granularity helps users distinguish annual, quarterly, monthly, or other time-series data.', 'Identifying school-year granularity improves analytical reuse of education data.', 'Temporal granularity helps users determine whether the figure supports fine-grained trend analysis.']"
geographic_entities,geographic_entities,high,12,12,0.057142857,3,6,6,12,0,0,"['Central Darfur; West Darfur; West Kordofan; Blue Nile; East Darfur; North Darfur; North Kordofan; River Nile; Gezerea; South Kordofan; Kassala; South Darfur; Khartoum; Northern State; El Gadarif; White Nile; Red Sea; Sinnar', 'United Arab Emirates; Egypt; Bahrain; Islamic Republic of Iran; Kuwait; Oman; Saudi Arabia; Jordan; Lebanon; Morocco; Qatar; Sudan; Tunisia; Afghanistan; Djibouti; Iraq; Libya; Pakistan; Syrian Arab Republic; West Bank and Gaza; Somalia; Yemen', 'Munich; Berlin; Nice', 'Gueskerou; Chetimari; Kablewa; Toumour; Bosso; Diffa; N’Guigmi; Maine-soroa; Nguel Bely; Foulatari', ""Qatabah; Tuban; Dar Sa'd; Ma'rib City; Al Ma'afer""]",12,"['The named geographic entities represented as categories in the figure.', 'Countries or territories explicitly represented as plotted entities or labels.', 'Named places referenced by the figure’s data series or title.']","['Entity names enable retrieval of figures containing data for specific subnational locations.', 'Entity-level geographic labels are often only visible in figures and are crucial for geographic discovery.', 'Geographic entities enable location-based discovery even when no document metadata is available.']"
source_organization,source_organization,high,12,12,0.057142857,2,4,8,2,10,0,"['World Bank', 'World Bank; IBRD/IDA', 'ACNUR / UNHCR, The UN Refugee Agency', 'ACNUR; UNHCR, The UN Refugee Agency']",4,"['The organization responsible for producing or publishing the source document.', 'Organization responsible for producing or publishing the source document.', 'Organization associated with producing or publishing the source document containing the snapshot.']","['Source organization supports provenance tracking and institutional filtering.', 'Provenance supports filtering and trust assessment but is not unique to the figure.', 'Source organization supports provenance tracking for data extracted from the snapshot.']"
x_axis_variable,indicator_name,medium,11,11,0.052380952,1,11,0,11,0,0,"['Not explicitly labeled; likely shortage or surplus measure inferred from subtitle', 'Aggregated income; Current income marker', 'Quarter', 'Date/month', 'Not explicitly labeled; appears related to shortages based on the legend']",9,"['The variable represented on the horizontal axis.', 'Variable represented on the horizontal axis.', 'Variable or construct represented on the horizontal axis.']","['The horizontal-axis variable is important for interpreting the modeled relationship, even though it is not clearly labeled.', 'The x-axis variable identifies the analytical dimension against which the plotted indicators vary.', 'Axis-variable metadata helps describe the analytical structure of the figure.']"
statistical_measure,measure_type,high,11,11,0.052380952,2,4,7,11,0,0,"['Distribution by category', 'Percentage distribution of asylum application decisions by outcome category', 'Percentage distribution by sector and contract duration category', 'Marginal Effect; Level Sign.', 'Coef.; Mean; M.W. to P.']",11,"['Type of quantitative summary or statistic shown.', 'The statistical form of the values shown in the figure.', 'The statistical form of the values plotted in the figure.']","['Identifying the chart as a distribution supports analytical reuse across comparable snapshots.', 'This clarifies that the figure reports shares rather than counts or rates.', 'Knowing that values are percentages supports comparison and analytical reuse.']"
series_dimension,series_dimension,high,11,11,0.052380952,3,11,0,10,0,1,"['Tariff level', 'Assessment year / NLA round', 'Ceasefire status', 'Category of human right violated', 'Asylum decision outcome or protection status']",10,"['The dimension represented by separate plotted series or legend entries.', 'Dimension used to distinguish the compared data series in the figure.', 'Variable used to distinguish the plotted data series.']","['Series dimensions clarify what is being compared within the visualization.', 'The series dimension identifies the main comparison structure of the chart.', 'The series dimension captures the semantic grouping used in the chart.']"
document_context_title,source_document_title,high,11,11,0.052380952,2,6,5,0,11,0,"['Productivity, ownership, and the investment climate : international lessons for priorities in Serbia', 'Croatia - Municipal Environmental Infrastructure Project', 'Djibouti - Integrated Cash Transfer and Human Capital Project', 'what is missing between agricultural growth and infrastructure development ? cases of coffee and dairy in Africa', 'Almost random : evaluating a large-scale randomized nutrition program in the presence of crossover']",10,"['The title of the source document containing the table.', 'The title of the source document containing the snapshot.', 'Title of the source document containing the snapshot.']","['Document context links the macroeconomic snapshot to the project appraisal record in which it appears.', 'The document title links the poverty-rate table to its project and policy context.', 'Links the figure’s infrastructure indicators to the document’s agricultural growth and Africa context.']"
subject_topic,subject_domain,high,11,11,0.052380952,2,8,3,5,0,6,"['Violations des droits humains', 'Population age distribution', 'Violations des droits signalées par le monitoring de protection', 'Commodity price volatility; structural breaks in volatility', 'Trade logistics and logistics performance']",11,"['Topical subject matter represented by the figure.', 'Main thematic topic represented by the figure.', 'Broad thematic topic represented by the snapshot content.']","['The topic is central for search and thematic discovery.', 'A topic field improves thematic discovery even when no document metadata is available.', 'This supports topical search for tables about rights violations and protection monitoring.']"
indicator_names,indicator_name,high,11,11,0.052380952,3,7,4,11,0,0,"['Consumer prices; Implicit GDP deflator; Current revenue; Current budget balance; Overall surplus/deficit; Total exports; Total imports; Export price index; Import price index; Terms of trade; Exports of goods and services; Imports of goods and services; Resource balance; Net income; Net current transfers; Current account balance; Reserves including gold; Conversion rate; Total debt outstanding and disbursed; Total debt service; Official grants; Official creditors; Private creditors; Foreign direct investment; Portfolio equity; World Bank program commitments, disbursements, repayments, flows, interest payments, and net transfers', 'Population, mid-year; GNP per capita; GNP; Population growth; Labor force growth; Poverty; Urban population; Life expectancy at birth; Infant mortality; Child malnutrition; Access to safe water; Illiteracy; Gross primary enrollment; GDP; Gross domestic investment/GDP; Exports of goods and services/GDP; Total debt/GDP; Agriculture; Industry; Services; Imports of goods and services', 'Population; GNP per capita; GNP; population growth; labor force growth; poverty; urban population; life expectancy at birth; infant mortality; child malnutrition; access to safe water; illiteracy; gross primary enrollment; GDP; gross domestic investment/GDP; exports of goods and services/GDP; gross domestic savings/GDP; gross national savings/GDP; current account balance/GDP; debt ratios; agriculture; industry; construction; services; private consumption; general government consumption; imports of goods and services; gross national product', 'Population; GNP per capita; GNP; population growth; labor force growth; poverty headcount index; urban population; life expectancy at birth; infant mortality; child malnutrition; access to safe water; illiteracy; gross primary enrollment; GDP; gross domestic investment/GDP; exports of goods and services/GDP; gross domestic savings/GDP; gross national savings/GDP; current account balance/GDP; interest payments/GDP; total debt/GDP; total debt service/exports; present value of debt/GDP; present value of debt/exports; agriculture; industry; manufacturing; services; private consumption; general government consumption; imports of goods and services; gross national product', 'Consumer prices; Implicit GDP deflator; Current revenue; Current budget balance; Overall surplus/deficit; Total exports; Total imports; Export price index; Import price index; Terms of trade; Exports of goods and services; Imports of goods and services; Resource balance; Net income; Net current transfers; Current account balance; Total debt outstanding and disbursed; Total debt service; Composition of net resource flows; World Bank program commitments; Disbursements; Principal repayments; Net flows; Interest payments; Net transfers']",11,"['Names of statistical indicators or measures reported in the snapshot.', 'Statistical indicators or measures reported in the snapshot.', 'Names of statistical indicators reported in the snapshot.']","['Indicator names enable retrieval of specific economic and financial measures embedded in the table.', 'Indicator names enable fine-grained discovery of data that is not fully captured in document metadata.', 'Indicator names are the core semantic content needed for search, comparison, and analytical reuse.']"
analysis_method,analysis_method,high,10,10,0.047619048,2,2,8,8,1,1,"['Regression analysis', 'Pairwise comparison weighting; Analytic Hierarchy Process is inferred but not explicitly stated', 'Multinomial logit model; marginal effects are reported', 'logit estimation', 'Mathematical deterministic dynamic compartmental model']",9,"['The statistical or analytical method used to produce the reported results.', 'Method or analytical approach represented by the table.', 'The statistical or analytical method used to generate the table results.']","['The method is central to understanding how the listed factors are compared and weighted.', 'Method metadata enables users to find and compare tables using similar econometric approaches.', 'Method metadata supports discovery of econometric and impact-evaluation results across tables.']"
data_source,data_source,high,10,10,0.047619048,3,5,5,7,2,1,"['Development Economics', 'World Health Organization', 'Sudan MICS 2014/15 data', 'UNHCR', 'ENIGH 96']",9,"['Source or producing unit cited within the snapshot.', 'Source or producing unit cited for the data in the snapshot.', 'The organization or dataset cited as the source of the data.']","['Snapshot-level source information supports provenance tracking distinct from document-level producer metadata.', 'Data source information supports provenance tracking and assessment of data authority.', 'Data source is important for provenance tracking and assessment of reliability.']"
data_values,not_in_ontology,high,10,10,0.047619048,3,7,3,10,0,0,"['Meheba: 41,922 and 41%; Mayukwayukwa: 26,174 and 25%; Lusaka: 25,725 and 25%; Mantapala: 8,883 and 9%', '18, 33, 41, 45, 52, 128, 130, 200, 292, 1,250, 4,440, 8,000', '431; 489; 566; 573', 'Annual: 0.00, 7.00, 6.50, 10.00, 6.50, 5.00, 1.00; Cumulative: 0.00, 7.00, 13.50, 23.50, 30.00, 35.00, 36.00', 'Gueskerou: 15; Chetimari: 10; Kablewa: 6; Toumour: 4; Bosso: 2; Diffa: 2; N’Guigmi: 2; Maine-soroa: 1; Nguel Bely: 0; Foulatari: 0']",10,"['The numeric values explicitly displayed in the figure.', 'Key quantitative values associated with the represented categories or locations.', 'Numeric values shown in the table cells.']","['Capturing values exposes map-embedded data that may not be searchable in document metadata.', 'Capturing visible data values enables analytical reuse and retrieval of figures containing specific quantitative evidence.', 'Capturing displayed values improves analytical reuse when underlying data are not otherwise available.']"
comparison_groups,comparison_group,high,10,10,0.047619048,3,6,4,10,0,0,"['Europe & Central Asia; Low-income; Low-income group', 'West Bank & Gaza; M. East & North Africa; Lower-middle-income; Lower-middle-income group', 'Europe & Central Asia; Upper-middle-income group', 'Overall; Not Assisted; Food Assisted', 'Kalobeyei Refugees; Kakuma Refugees; Turkana Hosts; Urban Refugees; Urban Hosts']",10,"['Benchmark countries, regions, or income groups used for comparison.', 'Countries, regions, income groups, or benchmarks used for comparison.', 'Benchmark regions or peer groups used for comparison in the snapshot.']","['Comparator groups materially enrich discovery beyond the document-level country metadata.', 'Comparison groups reveal benchmarking context not fully captured by document-level metadata.', 'Comparison groups reveal analytical context not fully captured by the document-level country metadata.']"
y_axis_variable,indicator_name,high,10,10,0.047619048,1,10,0,10,0,0,"['Adjustment function value, inferred from the figure title', 'Growth rate', 'Real GDP index', 'Price; monthly returns', 'Financial indicators expressed relative to GDP, varying by panel']",8,"['The variable represented on the vertical axis.', 'The variable represented along the vertical axis or dependent measurement dimension.', 'The variable represented along the vertical axis.']","['The y-axis variable clarifies what numerical values in the plotted series measure.', 'The vertical-axis variable specifies what quantitative outcome is being compared.', 'The vertical-axis concept is necessary for interpreting the magnitude of the adjustment function but is not labeled in the snapshot.']"
comparison_dimension,category_dimension,medium,9,9,0.042857143,2,7,2,9,0,0,"['Year', 'Country or territory of origin: Syrian Arab Republic; Afghanistan; Iraq; Venezuela; Nigeria; Turkey; Russian Federation; Tunisia; Morocco; Pakistan; Guinea; Congo, DR', 'Sector', 'Assistance status', 'Baseline; Actual']",8,"['The dimension across which values are compared in the figure.', 'The dimension across which separate chart panels or groups are compared.', 'The main grouping variable used to compare the indicator across categories.']","['This identifies that the figure supports year-over-year comparison.', 'The comparison dimension enables discovery of data disaggregated by country or territory of origin.', 'Sector is the key comparative dimension for finding and reusing this chart.']"
research_topic,subject_summary,high,9,9,0.042857143,1,1,8,2,1,6,"['Child labor; survey design; labor force participation', 'Trade liberalization, trade protection, factor adjustment, employment and capital adjustment', 'Tariff changes effect estimation on factor adjustment', 'Kyoto Protocol investment determinants; greenhouse gas reduction projects; Activities Implemented Jointly', 'Determinants of AIJ investment and bilateral aid selection under climate policy mechanisms']",9,"['The substantive research topic represented by the table.', ""Topical concepts relevant to the figure's analytical content."", 'Main substantive topic or relationship analyzed in the table.']","['Topic metadata helps connect the table to relevant policy and research themes.', 'Topical metadata connects the figure to related policy and economic themes beyond the visible title.', 'This captures the table-specific policy relationship beyond the document title.']"
data_source_name,data_source,high,9,9,0.042857143,3,5,4,9,0,0,"['دراسة استقصائية لمناخ الاستثمار / Investment Climate Survey', 'Monitoreo de Frontera', 'ALCS 2013-14', 'SES; KIHBS', 'FAOSTAT Forest Trade Flows data']",8,"['The named source from which the figure data were derived.', 'The named survey, database, or source from which the figure data were derived.', 'Named dataset, survey, monitoring system, or source product cited for the data.']","['Data source information supports provenance tracking and assessment of reliability.', 'Source names provide provenance and help users assess comparability with other figures.', 'The data source name supports provenance tracking and comparison across figures from the same source.']"
administrative_level,geographic_granularity,high,8,8,0.038095238,2,4,4,8,0,0,"['Governorate / region', 'Governorate (Mohafazat) boundaries and capitals', 'Region; National aggregate', 'Governorate-level administrative areas; inferred from labels including Aleppo, Idlib, Raqqa, Homs, Daraa, and Rural Damascus', 'Province, territory, and locality/city labels are shown']",8,"['The geographic administrative level used to organize the rows of the table.', 'Administrative hierarchy or level represented in the map.', 'Administrative or geographic aggregation level represented by the table rows.']","['Administrative level enables spatial filtering and reuse of subnational data.', 'Administrative level is important for comparing maps and locating subnational information.', 'Administrative level helps users filter tables by subnational versus national estimates.']"
document_context,source_document_title,medium,8,8,0.038095238,2,7,1,0,8,0,"['Jordan - Enhancing Governance and Strengthening the Regulatory and Institutional Framework for Micro, Small, and Medium Enterprise (MSME) Development Project', 'Djibouti - Integrated Community Resilience Project; Project Appraisal Document; World Bank', 'Zambia - Refugee and Host Communities Project; Project Appraisal Document; World Bank; Project ID P503941', 'Sudan - Basic Education Emergency Support Project; Project Appraisal Document; World Bank; Education sector', 'Burundi - Second Social Action Project; Project Appraisal Document; World Bank; production date 2003-04-15']",8,"['The source document or project context in which the figure appears.', 'Document-level context that links the snapshot to its parent report or project.', 'Relevant document-level context linking the snapshot to the source project or publication.']","['Document context helps relate the figure to the surrounding MSME finance project record.', 'Document context helps users connect the map to the broader project and institutional source.', 'Project context helps catalog the figure within the broader World Bank operation without duplicating all document metadata.']"
analytical_method,analysis_method,high,8,8,0.038095238,1,2,6,8,0,0,"['KL (2000) test', 'DCGE model results', 'Revealed preference demand curve', 'Decomposition of risk into aggregate and idiosyncratic risk components', 'Poisson-selection model']",8,"['Named statistical or analytical method referenced in the figure.', 'The modeling or analytical method underlying the values shown.', 'The method, model, or analytical approach used to derive reported estimates.']","['Analytical methods are useful for discovering figures involving specific tests or methodologies.', 'Method metadata helps distinguish modeled projections from observed survey or administrative data.', 'Method metadata improves reuse by indicating how the consumption estimates were produced.']"
